FlightNumber,Seat,InventoryId,CUSTOMER_ID
2223.0,C1,INV-ZZ-4457881,TBG4346
2223.0,C24,INV-ZZ-2946425,DRD3155
2223.0,D45,INV-ZZ-2946425,ZOK2661
2223.0,C52,INV-ZZ-2946425,LBH8598
2223.0,C21,INV-ZZ-4457881,LIK1184
2223.0,C30,INV-ZZ-4457881,VZQ3455
2223.0,C35,INV-ZZ-2946425,PXG0449
2223.0,C27,INV-ZZ-4457881,RDA5956
2223.0,C47,INV-ZZ-2946425,FUU6017
2223.0,C40,INV-ZZ-2946425,PUV1188
2223.0,D56,INV-ZZ-2946425,NOO7909
2223.0,A29,INV-ZZ-4457881,NEK3266
2223.0,C23,INV-ZZ-2946425,DDB3378
2223.0,C37,INV-ZZ-2946425,CIE7707
2223.0,D67,INV-ZZ-2946425,WRA0593
2223.0,A1,INV-ZZ-2774494,ULD5620
2223.0,D47,INV-ZZ-4457881,QFF7534
2223.0,C22,INV-ZZ-4457881,WXD5583
2223.0,D61,INV-ZZ-2946425,NQX2486
2223.0,A15,INV-ZZ-4457881,CSD7677
2223.0,D26,INV-ZZ-4457881,KIX6381
2223.0,A29,INV-ZZ-2946425,MGS2365
2223.0,A17,INV-ZZ-4457881,RLF1850
2223.0,C29,INV-ZZ-2946425,CWK9565
2223.0,C26,INV-ZZ-2946425,MSU6210
2223.0,C22,INV-ZZ-2946425,EIV6296
2223.0,A30,INV-ZZ-2946425,OYO7972
2223.0,C43,INV-ZZ-2946425,AEY9203
2223.0,D15,INV-ZZ-4457881,KQD1435
2223.0,C35,INV-ZZ-4457881,QZU3772
2223.0,D39,INV-ZZ-2946425,OFW1963
2223.0,D21,INV-ZZ-4457881,DIC9026
2223.0,C51,INV-ZZ-2946425,ZMB9553
2223.0,A6,INV-ZZ-4457881,LPO6034
2223.0,D41,INV-ZZ-4457881,PUY7766
2223.0,C31,INV-ZZ-4457881,PNV3676
2223.0,D71,INV-ZZ-2946425,YJM4955
2223.0,A8,INV-ZZ-4457881,WAY4178
2223.0,D17,INV-ZZ-4457881,ETQ1844
2223.0,C28,INV-ZZ-2946425,YIS0276
2223.0,B10,INV-ZZ-4457881,ENG6420
2223.0,C9,INV-ZZ-4457881,NSF9760
2223.0,B6,INV-ZZ-4457881,IER5424
2223.0,D66,INV-ZZ-2946425,COL7935
2223.0,D5,INV-ZZ-4457881,QDL8356
2223.0,C39,INV-ZZ-2946425,UFO3688
2223.0,A12,INV-ZZ-4457881,SYC0291
2223.0,B11,INV-ZZ-4457881,SSA0447
2223.0,D10,INV-ZZ-4457881,WQJ4153
2223.0,D63,INV-ZZ-4457881,OOZ5431
2223.0,A24,INV-ZZ-2946425,IQE0134
2223.0,D69,INV-ZZ-2946425,EBS7471
2223.0,D34,INV-ZZ-4457881,TWF6876
2223.0,C5,INV-ZZ-4457881,BEN9293
2223.0,A9,INV-ZZ-4457881,PPC0528
2223.0,D35,INV-ZZ-4457881,NER3460
2223.0,C18,INV-ZZ-4457881,GAQ6630
2223.0,C2,INV-ZZ-4457881,DXN1159
2223.0,B11,INV-ZZ-2946425,YAT5678
2223.0,D27,INV-ZZ-4457881,VVB1880
2223.0,D54,INV-ZZ-2946425,UIW6890
2223.0,C15,INV-ZZ-4457881,PEA5364
2223.0,C34,INV-ZZ-4457881,ALI9308
2223.0,C36,INV-ZZ-2946425,TMT2099
2223.0,C40,INV-ZZ-4457881,DOO4677
2223.0,A26,INV-ZZ-4457881,OAD6606
2223.0,A23,INV-ZZ-4457881,NAF5106
2223.0,D76,INV-ZZ-2946425,KRJ2949
2223.0,D19,INV-ZZ-4457881,JOL8490
2223.0,D75,INV-ZZ-2946425,LLA6542
2223.0,D62,INV-ZZ-2946425,GSJ1595
2223.0,C25,INV-ZZ-2946425,LNF8521
2223.0,C20,INV-ZZ-4457881,QEY5980
2223.0,D6,INV-ZZ-4457881,NKY9161
2223.0,A20,INV-ZZ-2946425,IRV5237
2223.0,D40,INV-ZZ-2946425,MOX0194
2223.0,C11,INV-ZZ-4457881,VIG8837
2223.0,B13,INV-ZZ-2946425,TTA1431
2223.0,D1,INV-ZZ-4457881,TGE9567
2223.0,C30,INV-ZZ-2946425,YIG9910
2223.0,C49,INV-ZZ-2946425,AQR8720
2223.0,A19,INV-ZZ-2946425,PBJ8015
2223.0,C34,INV-ZZ-2946425,SPA1409
2223.0,D73,INV-ZZ-2946425,SMI3857
2223.0,C33,INV-ZZ-4457881,OCH7762
2223.0,D28,INV-ZZ-4457881,RGH7613
2223.0,A23,INV-ZZ-2946425,JCI3971
2223.0,D22,INV-ZZ-4457881,HGT6065
2223.0,C4,INV-ZZ-4457881,UWT0750
2223.0,D3,INV-ZZ-4457881,RLU2779
2223.0,D42,INV-ZZ-4457881,QLQ2315
2223.0,B1,INV-ZZ-4457881,QZA9338
2223.0,C41,INV-ZZ-2946425,LJL3543
2223.0,D24,INV-ZZ-4457881,MWZ8969
2223.0,A11,INV-ZZ-4457881,LCX6791
2223.0,D72,INV-ZZ-2946425,RGN9143
2223.0,A17,INV-ZZ-2946425,AMM2826
2223.0,D44,INV-ZZ-2946425,CBS1315
2223.0,D60,INV-ZZ-4457881,WSU4023
2223.0,B3,INV-ZZ-4457881,KGO8578
2223.0,D50,INV-ZZ-4457881,ZDT0298
2223.0,D52,INV-ZZ-4457881,GNB4853
2223.0,D63,INV-ZZ-2946425,ZHC4585
2223.0,C31,INV-ZZ-2946425,AJA7615
2223.0,C44,INV-ZZ-2946425,CTH5101
2223.0,D41,INV-ZZ-2946425,FPS6829
2223.0,C29,INV-ZZ-4457881,MIH2757
2223.0,A16,INV-ZZ-2946425,UFM3491
2223.0,A14,INV-ZZ-4457881,EEO7451
2223.0,D70,INV-ZZ-2946425,VVD8279
2223.0,A1,INV-ZZ-4457881,FMM9880
2223.0,C38,INV-ZZ-4457881,SSP5858
2223.0,C17,INV-ZZ-4457881,OOI6656
2223.0,D31,INV-ZZ-4457881,CVD7279
2223.0,C42,INV-ZZ-2946425,BFV9125
2223.0,A34,INV-ZZ-2946425,TXX7705
2223.0,C32,INV-ZZ-2946425,LEE2897
2223.0,A3,INV-ZZ-4457881,IZY0398
2223.0,D11,INV-ZZ-4457881,ISK8782
2223.0,A7,INV-ZZ-4457881,GRS5211
2223.0,C25,INV-ZZ-4457881,OUE7451
2223.0,A24,INV-ZZ-4457881,CRF6565
2223.0,C28,INV-ZZ-4457881,CRN5511
2223.0,D55,INV-ZZ-4457881,DHN8411
2223.0,C38,INV-ZZ-2946425,QJA8730
2223.0,D13,INV-ZZ-4457881,BVT2835
2223.0,D29,INV-ZZ-4457881,QOV0374
2223.0,D4,INV-ZZ-4457881,XCL5201
2223.0,A33,INV-ZZ-2946425,UFZ2491
2223.0,D38,INV-ZZ-4457881,GZR4641
2223.0,C14,INV-ZZ-4457881,XGX9066
2223.0,D65,INV-ZZ-2946425,KGD2181
2223.0,D51,INV-ZZ-4457881,AJB6107
2223.0,C21,INV-ZZ-2946425,DPY7818
2223.0,C7,INV-ZZ-4457881,MBH9315
2223.0,D59,INV-ZZ-4457881,DLN0891
2223.0,C3,INV-ZZ-4457881,UZB4925
2223.0,A22,INV-ZZ-2946425,QOO7534
2223.0,D16,INV-ZZ-4457881,YDX7612
2223.0,D30,INV-ZZ-4457881,PSW7891
2223.0,D52,INV-ZZ-2946425,NFM0236
2223.0,C12,INV-ZZ-4457881,CEN5813
2223.0,D51,INV-ZZ-2946425,QXG0358
2223.0,B8,INV-ZZ-4457881,JIB2799
2223.0,D49,INV-ZZ-2946425,DHQ5485
2223.0,D58,INV-ZZ-4457881,YXZ1286
2223.0,D64,INV-ZZ-2946425,ULP2325
2223.0,B14,INV-ZZ-2946425,WIS5039
2223.0,D53,INV-ZZ-4457881,BPD0164
2223.0,D57,INV-ZZ-4457881,VSP3292
2223.0,D62,INV-ZZ-4457881,QZB5053
2223.0,C32,INV-ZZ-4457881,LRQ7595
2223.0,C13,INV-ZZ-4457881,PDN0719
2223.0,C8,INV-ZZ-4457881,DGE3826
2223.0,D46,INV-ZZ-4457881,YKI4392
2223.0,D18,INV-ZZ-4457881,HLG1021
2223.0,C6,INV-ZZ-4457881,ITY6461
2223.0,B15,INV-ZZ-2946425,ZJV0198
2223.0,A2,INV-ZZ-4457881,RMR9846
2223.0,D37,INV-ZZ-2946425,JYZ0862
2223.0,C36,INV-ZZ-4457881,OUP0499
2223.0,D23,INV-ZZ-4457881,QLC0978
2223.0,B13,INV-ZZ-4457881,ILN7353
2223.0,C39,INV-ZZ-4457881,VGE4204
2223.0,C1,INV-ZZ-2774494,RVL5316
2223.0,B10,INV-ZZ-2946425,WHG9770
2223.0,C33,INV-ZZ-2946425,IDA4791
2223.0,B2,INV-ZZ-4457881,WPH4609
2223.0,A20,INV-ZZ-4457881,MKJ9979
